step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
250,220320,4000,0.018079985916426268,1.0,1.0,,,,,,,,,
251,221104,4016,0.01816011620280847,0.9375,0.9375,,,,,,,,,
252,222144,4032,0.016375304611618163,1.0,1.0,,,,,,,,,
253,222928,4048,0.01993416520172256,1.0,1.0,,,,,,,,,
254,223712,4064,0.02001109078742123,0.875,0.875,,,,,,,,,
255,224624,4080,0.021662115092750907,1.0,1.0,,,,,,,,,
256,225664,4096,0.01581445708324651,1.0,1.0,,,,,,,,,
257,226576,4112,0.017744668230315837,1.0,1.0,0.02168837580167008,1.0,1.0,,,,,,
258,227488,4128,0.014808336574721059,1.0,1.0,,,,,,,,,
259,228272,4144,0.014837373444421853,1.0,1.0,,,,,,,,,
260,229056,4160,0.014739960205871134,1.0,1.0,,,,,,,,,
261,229840,4176,0.01872480724459365,0.875,0.875,,,,,,,,,
262,230752,4192,0.013760741045615695,1.0,1.0,,,,,,,,,
263,231536,4208,0.01909049238240944,1.0,1.0,,,,,,,,,
264,232320,4224,0.020580885041747477,0.875,0.875,,,,,,,,,
265,233232,4240,0.014493026130413197,0.9375,0.9375,0.02140846227021679,1.0,1.0,,,,,,
266,234144,4256,0.016908210954411355,1.0,1.0,,,,,,,,,
267,235056,4272,0.022677104074049177,1.0,1.0,,,,,,,,,
268,235968,4288,0.013590894831091063,1.0,1.0,,,,,,,,,
269,237008,4304,0.01448111791666918,0.9375,0.9375,,,,,,,,,
270,237920,4320,0.015287088318823734,1.0,1.0,,,,,,,,,
271,238832,4336,0.015221466110322452,1.0,1.0,,,,,,,,,
272,239744,4352,0.017382559711114545,1.0,1.0,,,,,,,,,
273,240528,4368,0.01962899342234247,0.9375,0.9375,0.011837457776726472,1.0,1.0,,,,,,
274,241440,4384,0.01755163428102898,0.9375,0.9375,,,,,,,,,
275,242352,4400,0.014273084939998822,1.0,1.0,,,,,,,,,
276,243136,4416,0.020085051508686624,1.0,1.0,,,,,,,,,
277,244048,4432,0.01427107767317872,0.875,0.875,,,,,,,,,
278,244960,4448,0.017038260052255998,1.0,1.0,,,,,,,,,
279,245872,4464,0.014625869731240025,1.0,1.0,,,,,,,,,
280,246656,4480,0.02209458916459804,1.0,1.0,,,,,,,,,
281,247568,4496,0.01784325595846196,1.0,1.0,0.01577804526121421,1.0,1.0,,,,,,
282,248352,4512,0.017300925954247266,1.0,1.0,,,,,,,,,
283,249264,4528,0.01624407461891467,1.0,1.0,,,,,,,,,
284,250176,4544,0.017161125101611514,1.0,1.0,,,,,,,,,
285,251088,4560,0.015814910428370826,1.0,1.0,,,,,,,,,
286,251744,4576,0.022172387641306614,0.9375,0.9375,,,,,,,,,
287,252528,4592,0.015862117801709798,1.0,1.0,,,,,,,,,
288,253312,4608,0.019050979174099134,1.0,1.0,,,,,,,,,
289,254096,4624,0.01692749479304666,0.9375,0.9375,0.017488393183181673,1.0,1.0,,,,,,
290,254880,4640,0.015921039868427727,1.0,1.0,,,,,,,,,
291,255664,4656,0.01767229722600149,0.875,0.875,,,,,,,,,
292,256448,4672,0.019768172541411676,1.0,1.0,,,,,,,,,
293,257232,4688,0.017996301551368863,0.9375,0.9375,,,,,,,,,
294,258016,4704,0.018834223099764815,1.0,1.0,,,,,,,,,
295,258928,4720,0.016399059132114483,1.0,1.0,,,,,,,,,
296,259712,4736,0.02066558774882338,1.0,1.0,,,,,,,,,
297,260368,4752,0.019655123642345642,1.0,1.0,0.018856953276203514,1.0,1.0,,,,,,
298,261152,4768,0.020657999961890897,1.0,1.0,,,,,,,,,
299,262064,4784,0.014489659140945962,1.0,1.0,,,,,,,,,
300,262848,4800,0.017267507913543246,0.875,0.875,,,,,,,,,
301,263632,4816,0.015620463686986644,0.9375,0.9375,,,,,,,,,
302,264544,4832,0.018578226636175747,1.0,1.0,,,,,,,,,
303,265456,4848,0.01842001589837683,0.9375,0.9375,,,,,,,,,
304,266240,4864,0.017194338095331527,1.0,1.0,,,,,,,,,
305,267152,4880,0.014445530441181192,1.0,1.0,0.02212784225858418,1.0,1.0,,,,,,
306,267808,4896,0.018652375505170654,0.9375,0.9375,,,,,,,,,
307,268592,4912,0.019742141473109695,1.0,1.0,,,,,,,,,
308,269504,4928,0.011363320833535875,1.0,1.0,,,,,,,,,
