step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
127,110832,2032,0.02083984502582401,0.9375,0.9375,,,,,,,,,
128,111616,2048,0.020691924131865942,0.9375,0.9375,,,,,,,,,
129,112528,2064,0.01998724378662084,1.0,1.0,0.018161307395422373,1.0,1.0,,,,,,
130,113440,2080,0.018896457612127052,1.0,1.0,,,,,,,,,
131,114096,2096,0.022869802133237957,0.9375,0.9375,,,,,,,,,
132,114752,2112,0.02538685483709105,0.875,0.875,,,,,,,,,
133,115536,2128,0.02573594551154656,1.0,1.0,,,,,,,,,
134,116448,2144,0.020446063951549798,1.0,1.0,,,,,,,,,
135,117232,2160,0.015868878628959162,0.9375,0.9375,,,,,,,,,
136,118144,2176,0.021161259186532593,1.0,1.0,,,,,,,,,
137,119056,2192,0.020413116913923335,1.0,1.0,0.02249560345297011,1.0,1.0,,,,,,
138,119840,2208,0.021311829873525503,1.0,1.0,,,,,,,,,
139,120624,2224,0.014752091058364841,1.0,1.0,,,,,,,,,
140,121664,2240,0.01653045871123787,1.0,1.0,,,,,,,,,
141,122576,2256,0.01408942279335049,1.0,1.0,,,,,,,,,
142,123232,2272,0.02498153518644858,0.875,0.875,,,,,,,,,
143,124144,2288,0.017461113144410907,1.0,1.0,,,,,,,,,
144,125184,2304,0.015751502374900212,1.0,1.0,,,,,,,,,
145,125968,2320,0.018009185785304565,1.0,1.0,0.019963179316016683,1.0,1.0,,,,,,
146,126752,2336,0.01982401711047506,1.0,1.0,,,,,,,,,
147,127536,2352,0.015661923857319,1.0,1.0,,,,,,,,,
148,128576,2368,0.015849761179948702,1.0,1.0,,,,,,,,,
149,129616,2384,0.019240912196228806,0.875,0.875,,,,,,,,,
150,130528,2400,0.018132133520959996,1.0,1.0,,,,,,,,,
151,131440,2416,0.02113823683469897,1.0,1.0,,,,,,,,,
152,132096,2432,0.022110497454193932,0.875,0.875,,,,,,,,,
153,132752,2448,0.020821623417092497,1.0,1.0,0.01714416936612892,1.0,1.0,,,,,,
154,133408,2464,0.018745342839968315,0.9375,0.9375,,,,,,,,,
155,134192,2480,0.018945639970247802,1.0,1.0,,,,,,,,,
156,135104,2496,0.018994594701231333,0.9375,0.9375,,,,,,,,,
157,135888,2512,0.019177831372561894,1.0,1.0,,,,,,,,,
158,136672,2528,0.02051242083942365,1.0,1.0,,,,,,,,,
159,137584,2544,0.02170756488067582,0.9375,0.9375,,,,,,,,,
160,138496,2560,0.016453817221372204,1.0,1.0,,,,,,,,,
161,139280,2576,0.022172530310047026,1.0,1.0,0.018967704258091578,1.0,1.0,,,,,,
162,140064,2592,0.019571904846166794,1.0,1.0,,,,,,,,,
163,141104,2608,0.01855292188590795,0.9375,0.9375,,,,,,,,,
164,142144,2624,0.01794169724526327,0.9375,0.9375,,,,,,,,,
165,142928,2640,0.019228534569973213,1.0,1.0,,,,,,,,,
166,143840,2656,0.01921225320889578,1.0,1.0,,,,,,,,,
167,144880,2672,0.0186521888836711,1.0,1.0,,,,,,,,,
168,145664,2688,0.01922395310213384,1.0,1.0,,,,,,,,,
169,146576,2704,0.014787688236400365,1.0,1.0,0.021072897881840805,1.0,1.0,,,,,,
170,147104,2720,0.02206515281984281,1.0,1.0,,,,,,,,,
171,148144,2736,0.01736490890558045,1.0,1.0,,,,,,,,,
172,148928,2752,0.02875096399240078,0.875,0.875,,,,,,,,,
173,149712,2768,0.01937260430243242,1.0,1.0,,,,,,,,,
174,150496,2784,0.017905442711409973,1.0,1.0,,,,,,,,,
175,151152,2800,0.025445958290718978,1.0,1.0,,,,,,,,,
176,152064,2816,0.0166539902170058,0.875,0.875,,,,,,,,,
177,152848,2832,0.021216121905708957,0.9375,0.9375,0.026900019399321025,1.0,1.0,,,,,,
178,153760,2848,0.022008844518524192,1.0,1.0,,,,,,,,,
179,154672,2864,0.01992731771591691,1.0,1.0,,,,,,,,,
180,155584,2880,0.017783914860354296,0.9375,0.9375,,,,,,,,,
181,156368,2896,0.020844695650914107,0.9375,0.9375,,,,,,,,,
182,157152,2912,0.017504197013028317,1.0,1.0,,,,,,,,,
183,158064,2928,0.015607614949589756,1.0,1.0,,,,,,,,,
184,158976,2944,0.017487025053953855,1.0,1.0,,,,,,,,,
185,159760,2960,0.021219683000731304,1.0,1.0,0.019387508586162474,1.0,1.0,,,,,,
186,160672,2976,0.015124468758658296,1.0,1.0,,,,,,,,,
187,161328,2992,0.021443736408654105,0.9375,0.9375,,,,,,,,,
188,162240,3008,0.015090349817580123,1.0,1.0,,,,,,,,,
189,163280,3024,0.014119719399685166,1.0,1.0,,,,,,,,,
190,164064,3040,0.018510301469348556,0.9375,0.9375,,,,,,,,,
191,164976,3056,0.01817077418389756,0.9375,0.9375,,,,,,,,,
192,165760,3072,0.019975528763364423,0.9375,0.9375,,,,,,,,,
